GEM location ID,bus_id
L100000915415,gen3
L100000915433,gen2
L100000915441,gen2
L100000915451,gen0
L100000915453,gen0
L100000915454,gen0
L100000915478,gen3
L100000915504,gen0
L100000915569,gen2
L100000915600,gen3
L100000915672,gen0
L100000915678,gen3
L100000915849,gen3
L100000916036,gen2
L100000916127,gen1
L100000916320,gen0
L100000916358,gen2
L100000920388,gen1
L100000920389,gen0
L100000920390,gen0
L100000920391,gen0
L100000920392,gen0
L100000920393,gen3
L100000920394,gen0
L100000920395,gen2
L100000920396,gen2
L100000920397,gen0
L100000920398,gen0
L100000920399,gen0
L100000920401,gen2
L100000920402,gen2
L100000920403,gen2
L100000920404,gen3
L100000920405,gen0
L100000920406,gen0
L100000920407,gen2
L100000920408,gen0
L100000920409,gen0
L100000920410,gen3
L100000920411,gen3
L100000920412,gen2
L100000920413,gen3
L100000920414,gen0
L100000920415,gen0
L100000920416,gen0
L100000920417,gen2
L100000920418,gen2
L100000920419,gen2
L100000920420,gen0
L100000920421,gen0
L100000920422,gen2
L100000920424,gen2
L100000920426,gen2
L100000920427,gen3
L100000920428,gen0
L100000920429,gen2
L100000920430,gen0
L100000920431,gen0
L100000920432,gen0
L100000920433,gen0
L100000920434,gen3
L100000920435,gen3
L100000920436,gen3
L100000920437,gen3
L100000920438,gen0
L100000920439,gen2
L100000920440,gen2
L100000920441,gen0
L100000920442,gen0
L100000920443,gen2
L100000920444,gen1
L100000920445,gen1
L100000920447,gen0
L100000920448,gen0
L100000920449,gen0
L100000920451,gen2
L100000920452,gen0
L100000920453,gen2
L100000920454,gen3
L100000920455,gen3
L100000920456,gen1
L100000920457,gen3
L100001004274,gen0
L100001004278,gen3
L100001004280,gen3
L100001004290,gen0
L100001004291,gen0
L100001004292,gen0
L100001004303,gen0
L100001004323,gen0
L100001004338,gen0
L100001004339,gen0
L100001004344,gen0
L100001004346,gen0
L100001004418,gen0
L100001004524,gen1
L100001004525,gen1
L100001004526,gen1
L100001004527,gen0
L100001004528,gen0
L100000822791,gen1
L100000822800,gen2
L100000806857,gen1
L100001004213,gen1
L100000822833,gen2
L100000822840,gen0
L100000805822,gen1
L100000822849,gen1
L100000822856,gen1
L100000822860,gen0
L100001007709,gen0
L100001004215,gen1
L100000805817,gen3
L100001004248,gen2
L100000823835,gen3
L100000824001,gen1
L100001004253,gen2
L100000806575,gen2
L100000806937,gen0
L100000805762,gen1
L100001042900,gen1
L100000823034,gen1
L100000806938,gen1
L100000823047,gen1
L100000805731,gen0
L100000805899,gen2
L100000823105,gen0
L100001004242,gen0
L100000806002,gen1
L100000806833,gen1
L100001004184,gen2
L100000823161,gen2
L100000805753,gen3
L100001004189,gen1
L100000823175,gen0
L100001004241,gen0
L100001004205,gen1
L100000805823,gen0
L100000823251,gen3
L100000823252,gen3
L100000823253,gen3
L100000823261,gen1
L100001004212,gen1
L100001004211,gen2
L100000823279,gen0
L100000805934,gen1
L100000823381,gen0
L100000823291,gen1
L100000806934,gen1
L100000806832,gen1
L100000805741,gen3
L100001004243,gen0
L100001004168,gen2
L100001004208,gen2
L100001004251,gen2
L100000806015,gen1
L100001004209,gen1
L100001004204,gen1
L100000823420,gen1
L100000806013,gen0
L100000823382,gen0
L100001004210,gen1
L100001004217,gen2
L100001004206,gen1
L100000805789,gen0
L100000805913,gen3
L100001004214,gen3
L100000822827,gen2
L100000823627,gen1
L100000805816,gen3
L100001004218,gen4
L100000806936,gen0
